OrgNr,PeOrgNr,Företagsnamn,Firma,Juridisk form,Privat/Publikt,Registreringsdatum,Startdatum,Slutdatum,Bolagsstatus,Företagsstatus,Bransch_1,"Bransch_1, kod",Säteskommun,Säteslän,ARegion,PostAdress,PostNr,PostOrt,E-post,Telefon,Fskattstatus,Momsstatus,Arbetsgivarstatus,Storleksklass SME,Utskick,Reklam
5595790329,165595790329,Mattias Hallinder Entreprenad AB,,Övriga aktiebolag,Privat,2026-04-07,,,Normalläge,Har aldrig varit verksam,Okänd,00000,Söderköping,Östergötland,Norrköping,HESTAD,614 93,SÖDERKÖPING,mhallinderentreprenadab@gmail.com,,Har aldrig varit registrerad för F-skatt,Har aldrig varit registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
5595790337,165595790337,Nicklas Johansson PT AB,,Övriga aktiebolag,Privat,2026-04-07,2026-04-13,,Normalläge,Är verksam,Drift av gymanläggningar,93130,Göteborg,Västra Götaland,Göteborg,HÖGSBOGATAN 43  LGH 1001,414 79,GÖTEBORG,Nicklasjpt@gmail.com,,Är registrerad för F-skatt,Är registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
5595790345,165595790345,CuraVia Omsorg AB,,Övriga aktiebolag,Privat,2026-04-07,,,Normalläge,Har aldrig varit verksam,Okänd,00000,Malmö,Skåne,Malmö/Lund/Trelleborg,KULLADALSGATAN 18 B,215 64,MALMÖ,,,Har aldrig varit registrerad för F-skatt,Har aldrig varit registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
5595790352,165595790352,Forma 8550 AB,,Övriga aktiebolag,Privat,2026-04-07,,,Normalläge,Har aldrig varit verksam,Okänd,00000,Sundsvall,Västernorrland,Sundsvall,BOX 1030,851 11,SUNDSVALL,,,Har aldrig varit registrerad för F-skatt,Har aldrig varit registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
5595790360,165595790360,Corebyte Solutions AB,,Övriga aktiebolag,Privat,2026-04-07,2026-04-13,,Normalläge,Är verksam,Dataprogrammering,62100,Borås,Västra Götaland,Borås,KADRILJGATAN 12,507 65,BORÅS,kimmo.befab@outlook.com,,Är registrerad för F-skatt,Är registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
5595790378,165595790378,Raman Trygg och Hållbar Utveckling AB,,Övriga aktiebolag,Privat,2026-04-07,,,Normalläge,Har aldrig varit verksam,Okänd,00000,Sundbyberg,Stockholm,Stockholm/Södertälje,BOPLATSEN 9  4TR,174 41,SUNDBYBERG,thria.rahman@hotmail.com,,Har aldrig varit registrerad för F-skatt,Har aldrig varit registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
5595790386,165595790386,8894studio AB,,Övriga aktiebolag,Privat,2026-04-07,,,Normalläge,Har aldrig varit verksam,Okänd,00000,Nacka,Stockholm,Stockholm/Södertälje,SALTSJÖ TORG 2,133 31,SALTSJÖBADEN,,,Har aldrig varit registrerad för F-skatt,Har aldrig varit registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
5595790394,165595790394,Daastera AB,,Övriga aktiebolag,Privat,2026-04-07,,,Normalläge,Har aldrig varit verksam,Okänd,00000,Sollentuna,Stockholm,Stockholm/Södertälje,SÖDERÄNGSVÄGEN 19 A,191 34,SOLLENTUNA,misra.neelima@gmail.com,,Har aldrig varit registrerad för F-skatt,Har aldrig varit registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
5595790402,165595790402,Coreva Finance AB,,Övriga aktiebolag,Privat,2026-04-07,2026-04-13,,Normalläge,Är verksam,Konsultverksamhet avseende företags organisation,70200,Lidingö,Stockholm,Stockholm/Södertälje,STENBACKSSTIGEN 31,181 62,LIDINGÖ,gustavalden1@gmail.com,,Är registrerad för F-skatt,Är registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
5595790410,165595790410,UPJ Motor & Invest AB,,Övriga aktiebolag,Privat,2026-04-07,,,Normalläge,Har aldrig varit verksam,Okänd,00000,Rättvik,Dalarna,Borlänge/Falun,ÄNGSÅS VÄG 25,795 33,RÄTTVIK,ulf@ldcab.se,,Har aldrig varit registrerad för F-skatt,Har aldrig varit registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
5595790428,165595790428,Blur Bono AB,,Övriga aktiebolag,Privat,2026-04-07,2026-04-13,,Normalläge,Är verksam,Detaljhandel via internet eller postorder med kläder,47712,Stockholm,Stockholm,Stockholm/Södertälje,SIBYLLEGATAN 8,114 42,STOCKHOLM,Emil@blurbono.com,,Är registrerad för F-skatt,Är registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
5595790436,165595790436,Solva vård AB,,Övriga aktiebolag,Privat,2026-04-07,,,Normalläge,Har aldrig varit verksam,Okänd,00000,Lysekil,Västra Götaland,Uddevalla,BADHUSBERGET 6 B,453 32,LYSEKIL,,,Har aldrig varit registrerad för F-skatt,Har aldrig varit registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
5595790444,165595790444,Gislevold AB,,Övriga aktiebolag,Privat,2026-04-07,,,Normalläge,Har aldrig varit verksam,Okänd,00000,Kristinehamn,Värmland,Kristinehamn,KRONTORPS GÅRD 1,681 92,KRISTINEHAMN,johan.sundby@krontorp.se,,Har aldrig varit registrerad för F-skatt,Har aldrig varit registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
5595790469,165595790469,InnovateQ Partners AB,,Övriga aktiebolag,Privat,2026-04-07,,,Normalläge,Har aldrig varit verksam,Okänd,00000,Strängnäs,Södermanland,Eskilstuna,SANDAVÄGEN 55,645 93,STRÄNGNÄS,,,Har aldrig varit registrerad för F-skatt,Har aldrig varit registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
5595790485,165595790485,Jutt Pizza House AB,,Övriga aktiebolag,Privat,2026-04-07,2026-04-13,,Normalläge,Är verksam,Restaurangverksamhet,56110,Vänersborg,Västra Götaland,Trollhättan/Vänersborg,SUNDSGATAN 11 B,462 33,VÄNERSBORG,raza.ahmed2018@outlook.com,,Är registrerad för F-skatt,Är registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
5595790493,165595790493,Sjöbo Mätteknik AB,,Övriga aktiebolag,Privat,2026-04-07,,,Normalläge,Har aldrig varit verksam,Okänd,00000,Sjöbo,Skåne,Ystad/Simrishamn,ÅGATAN 8 C,275 35,SJÖBO,hinken@sjobo.nu,,Har aldrig varit registrerad för F-skatt,Har aldrig varit registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
5595790501,165595790501,Vilhelmsson Legal AB,,Övriga aktiebolag,Privat,2026-04-07,,,Normalläge,Har aldrig varit verksam,Okänd,00000,Stockholm,Stockholm,Stockholm/Södertälje,VERKSTADSVÄGEN 5  LGH 1505,117 36,STOCKHOLM,jonasvillhelmsson89@gmail.com,,Har aldrig varit registrerad för F-skatt,Har aldrig varit registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
5595790519,165595790519,Manér Closet AB,,Övriga aktiebolag,Privat,2026-04-07,2026-04-13,,Normalläge,Är verksam,Detaljhandel med övriga begagnade varor,47792,Stockholm,Stockholm,Stockholm/Södertälje,GALONVÄGEN 6,168 73,BROMMA,Manercloset@gmail.com,,Är registrerad för F-skatt,Är registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
5595790527,165595790527,100% bygg i Nacka AB,,Övriga aktiebolag,Privat,2026-04-07,,,Normalläge,Har aldrig varit verksam,Okänd,00000,Nacka,Stockholm,Stockholm/Södertälje,SKÖLDUNGAVÄGEN 17,131 46,NACKA,ann.billberg@cecann.se,,Har aldrig varit registrerad för F-skatt,Har aldrig varit registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
5595790535,165595790535,Socionomerna i Norden AB,,Övriga aktiebolag,Privat,2026-04-07,2026-04-13,,Normalläge,Är verksam,Konsultverksamhet avseende företags organisation,70200,Solna,Stockholm,Stockholm/Södertälje,JUNGFRUDANSEN 5  LGH 1102,171 50,SOLNA,A95sh@hotmail.com,,Är registrerad för F-skatt,Är registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
5595790543,165595790543,Besqab Bostadsmark LVVIII AB,,Övriga aktiebolag,Privat,2026-04-07,,,Normalläge,Har aldrig varit verksam,Okänd,00000,Stockholm,Stockholm,Stockholm/Södertälje,BOX 45100,104 30,STOCKHOLM,bolag@besqab.se,,Har aldrig varit registrerad för F-skatt,Har aldrig varit registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
5595790568,165595790568,Per Franson AB,,Övriga aktiebolag,Privat,2026-04-07,,,Normalläge,Har aldrig varit verksam,Okänd,00000,Stockholm,Stockholm,Stockholm/Södertälje,SANKT PAULSGATAN 3,118 46,STOCKHOLM,per.franson@arch.kth.se,,Har aldrig varit registrerad för F-skatt,Har aldrig varit registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
5595790584,165595790584,To Be Teknik Nordic AB,,Övriga aktiebolag,Privat,2026-04-07,2026-04-13,,Normalläge,Är verksam,Teknisk konsultverksamhet inom industriteknik,71122,Eslöv,Skåne,Eslöv,VÄRHUS GÅRD,241 75,STEHAG,torbjorn.berg8@gmail.com,,Är registrerad för F-skatt,Har aldrig varit registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
5595790592,165595790592,Bellmans Städ AB,,Övriga aktiebolag,Privat,2026-04-07,2026-04-13,,Normalläge,Är verksam,Lokalvård,81210,Stockholm,Stockholm,Stockholm/Södertälje,BRÅVALLAGATAN 7 A,113 36,STOCKHOLM,carl@cdegeer.se,,Är registrerad för F-skatt,Är registrerad för moms,Är registrerad som vanlig arbetsgivare,1-9 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
5595790600,165595790600,Sefo consulting AB,,Övriga aktiebolag,Privat,2026-04-07,,,Normalläge,Har aldrig varit verksam,Okänd,00000,Luleå,Norrbotten,Luleå/Boden,NORRUDDSVÄGEN 48,974 55,LULEÅ,sebastianforss@live.se,,Har aldrig varit registrerad för F-skatt,Har aldrig varit registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
5595790618,165595790618,RG Gård & Grönt AB,,Övriga aktiebolag,Privat,2026-04-07,,,Normalläge,Har aldrig varit verksam,Okänd,00000,Båstad,Skåne,Ängelholm,KARDEHUSVÄGEN 30,269 72,FÖRSLÖV,santesson.g@gmail.com,,Har aldrig varit registrerad för F-skatt,Har aldrig varit registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
5595790634,165595790634,Elisas matmarknad AB,,Övriga aktiebolag,Privat,2026-04-07,2026-04-07,,Normalläge,Är verksam,"Livsmedelshandel med brett sortiment, ej varuhus eller stormarknad",47112,Karlsborg,Västra Götaland,Skövde,SVANHULTSVÄGEN 3,546 94,UNDENÄS,isac.svanberg@gmail.com,,Är registrerad för F-skatt,Är registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
5595790642,165595790642,SNIT Solutions AB,,Övriga aktiebolag,Privat,2026-04-07,2026-04-13,,Normalläge,Är verksam,Dataprogrammering,62100,Stockholm,Stockholm,Stockholm/Södertälje,HANSTAVÄGEN 94  LGH 1604,164 55,KISTA,,,Är registrerad för F-skatt,Är registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
5595790659,165595790659,Saliba & Co AB,,Övriga aktiebolag,Privat,2026-04-07,,,Normalläge,Har aldrig varit verksam,Okänd,00000,Uppsala,Uppsala,Uppsala,GOTTSUNDA ALLÉ 14,756 59,UPPSALA,grossrafik@gmail.com,,Har aldrig varit registrerad för F-skatt,Har aldrig varit registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
5595790667,165595790667,Aktiebolagshjälpen Sverige AB,,Övriga aktiebolag,Privat,2026-04-07,2026-04-13,,Normalläge,Är verksam,Konsultverksamhet avseende företags organisation,70200,Stockholm,Stockholm,Stockholm/Södertälje,HAMMARBYTERRASSEN 7,120 30,STOCKHOLM,maria@almegard.com,,Är registrerad för F-skatt,Är registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
5595790675,165595790675,GBG13 AB,,Övriga aktiebolag,Privat,2026-04-07,,,Normalläge,Har aldrig varit verksam,Okänd,00000,Göteborg,Västra Götaland,Göteborg,STORA BADHUSGATAN 20,411 21,GÖTEBORG,david@compary.com,,Har aldrig varit registrerad för F-skatt,Har aldrig varit registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
5595790683,165595790683,RD mark och anläggning AB,,Övriga aktiebolag,Privat,2026-04-07,,,Normalläge,Har aldrig varit verksam,Okänd,00000,Upplands-Bro,Stockholm,Stockholm/Södertälje,MIKLAGÅRDSVÄGEN 34,197 33,BRO,,,Har aldrig varit registrerad för F-skatt,Har aldrig varit registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
5595790691,165595790691,RYDEX AB,,Övriga aktiebolag,Privat,2026-04-07,,,Normalläge,Har aldrig varit verksam,Okänd,00000,Göteborg,Västra Götaland,Göteborg,JÄGAREGATAN 8 G,417 02,GÖTEBORG,mohamad.rahmeh91@gmail.com,,Har aldrig varit registrerad för F-skatt,Har aldrig varit registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
5595790717,165595790717,KD Flytt AB,,Övriga aktiebolag,Privat,2026-04-07,,,Normalläge,Har aldrig varit verksam,Okänd,00000,Göteborg,Västra Götaland,Göteborg,SYRENGÅRDEN 54  LGH 1202,424 39,ANGERED,,,Har aldrig varit registrerad för F-skatt,Har aldrig varit registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
5595790725,165595790725,Holy Nails AB,,Övriga aktiebolag,Privat,2026-04-07,,,Normalläge,Har aldrig varit verksam,Okänd,00000,Haninge,Stockholm,Stockholm/Södertälje,HÄLLSTIGEN 24,136 47,HANINGE,ida.folmerz@gmail.com,,Har aldrig varit registrerad för F-skatt,Har aldrig varit registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
5595790733,165595790733,Värmdö Mark & Service AB,,Övriga aktiebolag,Privat,2026-04-07,2026-04-13,,Normalläge,Är verksam,Skötsel och underhåll av grönytor,81300,Värmdö,Stockholm,Stockholm/Södertälje,GRÄVLINGSSTIGEN 8,139 41,VÄRMDÖ,,,Är registrerad för F-skatt,Är registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
5595790741,165595790741,LB Growth AB,,Övriga aktiebolag,Privat,2026-04-07,,,Normalläge,Har aldrig varit verksam,Okänd,00000,Stockholm,Stockholm,Stockholm/Södertälje,SILVERDALSVÄGEN 95,191 38,SOLLENTUNA,Ludvigbehring@gmail.com,,Har aldrig varit registrerad för F-skatt,Har aldrig varit registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
5595790758,165595790758,Notero AB,,Övriga aktiebolag,Privat,2026-04-07,,,Normalläge,Har aldrig varit verksam,Okänd,00000,Stockholm,Stockholm,Stockholm/Södertälje,SKOGSGÅRD 26,312 53,HISHULT,,,Har aldrig varit registrerad för F-skatt,Har aldrig varit registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
5595790766,165595790766,Bilda Lätt 2484 AB,,Övriga aktiebolag,Privat,2026-04-07,,,Normalläge,Har aldrig varit verksam,Okänd,00000,Sundsvall,Västernorrland,Sundsvall,BOX 306,851 05,SUNDSVALL,info@bildalatt.se,,Har aldrig varit registrerad för F-skatt,Har aldrig varit registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
5595790774,165595790774,Bilda Lätt 2485 AB,,Övriga aktiebolag,Privat,2026-04-07,,,Normalläge,Har aldrig varit verksam,Okänd,00000,Sundsvall,Västernorrland,Sundsvall,BOX 306,851 05,SUNDSVALL,info@bildalatt.se,,Har aldrig varit registrerad för F-skatt,Har aldrig varit registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
5595790782,165595790782,Bilda Lätt 2486 AB,,Övriga aktiebolag,Privat,2026-04-07,,,Normalläge,Har aldrig varit verksam,Okänd,00000,Sundsvall,Västernorrland,Sundsvall,BOX 306,851 05,SUNDSVALL,info@bildalatt.se,,Har aldrig varit registrerad för F-skatt,Har aldrig varit registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
5595790790,165595790790,Bilda Lätt 2487 AB,,Övriga aktiebolag,Privat,2026-04-07,,,Normalläge,Har aldrig varit verksam,Okänd,00000,Sundsvall,Västernorrland,Sundsvall,BOX 306,851 05,SUNDSVALL,info@bildalatt.se,,Har aldrig varit registrerad för F-skatt,Har aldrig varit registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
5595790808,165595790808,Bilda Lätt 2488 AB,,Övriga aktiebolag,Privat,2026-04-07,,,Normalläge,Har aldrig varit verksam,Okänd,00000,Sundsvall,Västernorrland,Sundsvall,BOX 306,851 05,SUNDSVALL,info@bildalatt.se,,Har aldrig varit registrerad för F-skatt,Har aldrig varit registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
5595790816,165595790816,Bilda Lätt 2489 AB,,Övriga aktiebolag,Privat,2026-04-07,,,Normalläge,Har aldrig varit verksam,Okänd,00000,Sundsvall,Västernorrland,Sundsvall,BOX 306,851 05,SUNDSVALL,info@bildalatt.se,,Har aldrig varit registrerad för F-skatt,Har aldrig varit registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
5595790824,165595790824,Studio Strand AB,,Övriga aktiebolag,Privat,2026-04-07,2026-04-07,,Normalläge,Är verksam,Drift av gymanläggningar,93130,Håbo,Uppsala,Enköping,ENKÖPINGSVÄGEN 6,746 52,BÅLSTA,malin@infrageotech.se,,Är registrerad för F-skatt,Har aldrig varit registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
5595790832,165595790832,Enta Sverige AB,,Övriga aktiebolag,Privat,2026-04-07,2026-04-07,,Normalläge,Är verksam,Uthyrning och leasing av andra hushållsartiklar och varor för personligt bruk,77220,Svedala,Skåne,Malmö/Lund/Trelleborg,ÄNGTISTELGATAN 1,233 61,BARA,rasmus.monsen@gmail.com,,Är registrerad för F-skatt,Är registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
5595790840,165595790840,Legoti AB,,Övriga aktiebolag,Privat,2026-04-07,2026-04-13,,Normalläge,Är verksam,Datakonsultverksamhet,62201,Stockholm,Stockholm,Stockholm/Södertälje,SKÖNSTAHOLMSVÄGEN 101,123 60,FARSTA,irena.nedeljkovic@live.se,,Är registrerad för F-skatt,Är registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
5595790857,165595790857,DK Asset Management AB,,Övriga aktiebolag,Privat,2026-04-07,,,Normalläge,Har aldrig varit verksam,Okänd,00000,Stockholm,Stockholm,Stockholm/Södertälje,LUSTGÅRDSGATAN 14  1203,112 51,STOCKHOLM,diego.klappenbach@gmail.com,,Har aldrig varit registrerad för F-skatt,Har aldrig varit registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
5595790865,165595790865,Sipfind TechCo AB,,Övriga aktiebolag,Privat,2026-04-07,,,Normalläge,Har aldrig varit verksam,Okänd,00000,Lidingö,Stockholm,Stockholm/Södertälje,VÅRDKASSTIGEN 6,181 62,LIDINGÖ,per@sipfind.com,,Har aldrig varit registrerad för F-skatt,Har aldrig varit registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
5595790873,165595790873,Siberg fastigheter AB,,Övriga aktiebolag,Privat,2026-04-07,,,Normalläge,Har aldrig varit verksam,Okänd,00000,Tibro,Västra Götaland,Skövde,BJÖRKUDDSVÄGEN 6,543 94,TIBRO,henrik.siberg@gmail.com,,Har aldrig varit registrerad för F-skatt,Har aldrig varit registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
5595790881,165595790881,DT Analytics AB,,Övriga aktiebolag,Privat,2026-04-07,,,Normalläge,Har aldrig varit verksam,Okänd,00000,Uppsala,Uppsala,Uppsala,TORPSVÄNGEN 43,754 71,UPPSALA,niklasviklund95@gmail.com,,Har aldrig varit registrerad för F-skatt,Har aldrig varit registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
5595790899,165595790899,Skolevents Sverige AB,,Övriga aktiebolag,Privat,2026-04-07,2026-04-13,,Normalläge,Är verksam,Övrig fritids- och nöjesverksamhet,93290,Göteborg,Västra Götaland,Göteborg,ÖSTRA HAMNGATAN 46,411 09,GÖTEBORG,info@skolevents.se,,Är registrerad för F-skatt,Har aldrig varit registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
5595790907,165595790907,Kawaf Studio Aktiebolag,,Övriga aktiebolag,Privat,2026-04-07,,,Normalläge,Har aldrig varit verksam,Okänd,00000,Göteborg,Västra Götaland,Göteborg,HELLSTEDTSGATAN 7,414 56,GÖTEBORG,kawaf.leen@gmail.com,,Har aldrig varit registrerad för F-skatt,Har aldrig varit registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
5595790915,165595790915,Tronfastigheter AB,,Övriga aktiebolag,Privat,2026-04-07,,,Normalläge,Har aldrig varit verksam,Okänd,00000,Uppsala,Uppsala,Uppsala,BOX 121,751 04,UPPSALA,,,Har aldrig varit registrerad för F-skatt,Har aldrig varit registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
5595790931,165595790931,Sipfind OpCo AB,,Övriga aktiebolag,Privat,2026-04-07,,,Normalläge,Har aldrig varit verksam,Okänd,00000,Lidingö,Stockholm,Stockholm/Södertälje,VÅRDKASSTIGEN 6,181 62,LIDINGÖ,per@sipfind.com,,Har aldrig varit registrerad för F-skatt,Har aldrig varit registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
5595790949,165595790949,LL Psykologi & Utbildning AB,,Övriga aktiebolag,Privat,2026-04-07,2026-04-13,,Normalläge,Är verksam,Annan övrig utbildning,85599,Stockholm,Stockholm,Stockholm/Södertälje,SANDFJÄRDSGATAN 108,120 56,ÅRSTA,lisa.ljungman@gmail.com,,Är registrerad för F-skatt,Är registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
5595790956,165595790956,Joel 232 Investments AB,,Övriga aktiebolag,Privat,2026-04-07,,,Normalläge,Har aldrig varit verksam,Okänd,00000,Sollentuna,Stockholm,Stockholm/Södertälje,RIBBINGS VÄG 53  LGH 1201,192 52,SOLLENTUNA,eadaniel.larsson@gmail.com,,Har aldrig varit registrerad för F-skatt,Har aldrig varit registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
5595790964,165595790964,Idux AB,,Övriga aktiebolag,Privat,2026-04-07,,,Normalläge,Har aldrig varit verksam,Okänd,00000,Köping,Västmanland,Köping,SYLTA 9,731 98,KÖPING,,,Har aldrig varit registrerad för F-skatt,Har aldrig varit registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
5595790972,165595790972,JPackendorff Invest AB,,Övriga aktiebolag,Privat,2026-04-07,,,Normalläge,Har aldrig varit verksam,Okänd,00000,Lerum,Västra Götaland,Göteborg,LEKSTORPSVÄGEN 4 C,443 41,GRÅBO,packen@me.com,,Har aldrig varit registrerad för F-skatt,Har aldrig varit registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
5595790998,165595790998,Monique Skoléa AB,,Övriga aktiebolag,Privat,2026-04-07,,,Normalläge,Har aldrig varit verksam,Okänd,00000,Borås,Västra Götaland,Borås,HANSINGGATAN 28,507 53,BORÅS,christopher@kprevision.se,,Har aldrig varit registrerad för F-skatt,Har aldrig varit registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
